Date,Bi,Di,Ri,As,Tamb,W10,EPV
2011-04-13,454.80333333333334,156.87,5.684166666666666,44.71083333333333,29.241250000000004,2.1991666666666667,62129.27
2011-04-14,469.29249999999996,146.6675,5.753333333333333,44.85999999999999,29.14,2.2491666666666665,62696.75
2011-04-15,467.1408333333334,147.7025,5.764166666666668,45.00416666666666,28.755416666666672,2.237916666666666,62837.11
2011-04-16,453.8591666666667,155.65166666666667,5.723333333333334,45.14666666666667,29.201666666666664,1.8383333333333336,61557.54000000001
2011-04-17,454.3025,154.49166666666665,5.734999999999999,45.284166666666664,29.53958333333333,2.2762499999999997,61921.119999999995
2011-04-18,461.86166666666674,148.89249999999998,5.777500000000001,45.422499999999985,29.52416666666667,2.2804166666666665,62159.36000000001
2011-04-19,436.3183333333333,164.73583333333332,5.688333333333333,45.553333333333335,29.727916666666662,2.5158333333333336,61095.63
2011-04-20,456.8249999999999,150.7025,5.779166666666666,45.68166666666667,28.867499999999993,2.4825,62276.90999999999
2011-04-21,449.71000000000004,154.59666666666666,5.769166666666667,45.805,29.064166666666665,2.402916666666667,61579.98
2011-04-22,458.6075,147.83666666666667,5.815833333333333,45.928333333333335,28.710416666666664,2.4791666666666665,62245.729999999996
2011-04-23,445.6158333333332,155.80249999999998,5.771666666666667,46.04666666666666,29.114583333333332,2.3066666666666666,61367.98000000001
2011-04-24,436.42333333333323,161.18249999999998,5.744166666666666,46.16083333333333,29.44083333333333,2.4466666666666668,61089.11
2011-04-25,426.415,165.3216666666667,5.6925,46.271666666666675,29.463333333333328,2.0991666666666666,60317.35
2011-04-26,451.0983333333333,149.78,5.8275,46.380833333333335,30.082916666666673,2.3033333333333337,60897.31
2011-04-27,441.85666666666657,155.16333333333333,5.800833333333333,42.92153846153846,29.913749999999997,2.1129166666666666,60373.13
2011-04-28,413.9241666666667,172.1966666666667,5.688333333333335,43.02615384615386,29.78916666666666,2.3874999999999997,59635.67999999999
2011-04-29,393.4216666666667,184.77583333333334,5.6275,43.12538461538462,29.698750000000008,2.1537499999999996,58801.719999999994
2011-04-30,331.1625,211.51250000000002,5.26,43.22076923076923,30.325833333333335,2.5320833333333335,55317.89
2011-05-01,381.5441666666666,185.14999999999998,5.504166666666666,43.31307692307693,30.23041666666667,2.2341666666666664,57927.53
2011-05-02,413.7908333333333,166.14916666666667,5.676666666666667,43.401538461538465,29.812083333333323,2.4066666666666667,59777.840000000004
2011-05-03,429.76333333333326,154.74166666666665,5.754166666666666,43.4876923076923,29.33083333333333,1.973333333333333,60309.96000000001
2011-05-04,427.65083333333337,155.57666666666668,5.7749999999999995,43.57,29.531666666666666,2.4187500000000006,60362.759999999995
2011-05-05,425.3533333333334,156.13833333333335,5.758333333333334,43.64846153846153,29.54125,2.311666666666666,59987.31
2011-05-06,405.46250000000003,168.04999999999998,5.682500000000001,43.72000000000001,29.092500000000005,2.3279166666666664,59250.6
2011-05-07,329.84,214.0433333333333,5.345833333333334,43.79,29.329583333333336,3.1008333333333336,56637.729999999996
2011-05-08,376.41,185.97000000000003,5.566666666666666,43.85615384615384,29.200416666666655,2.5620833333333337,58281.99
